"Rank","Year","Artist","artist_name","Track","track_name","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
1,2014,"florida georgia line featuring luke bryan","florida georgia line","this is how we roll","this is how we roll",12,1,"Here's To The Good Times...This Is How We Roll","album","3b8QkneNDz4JHKKKlLgYZg","2iT8p5HHGZoIgFME97V1fd","2013-01-01",2013,220906,0.555,0.931,8,"G#","G# major",1,"major",4,-2.969,0.0367,0.016,0,0.405,0.723,132.085
1,2015,"sam hunt","sam hunt","take your time","take your time",1,1,"Montevallo","album","2kucQ9jQwuD8jWdtR9Ef38","54JIuEuTnL0Al2LHCU9pdL","2014-10-27",2014,243706,0.558,0.719,11,"B","B major",1,"major",4,-5.603,0.0419,0.101,0,0.212,0.483,158.031
1,2016,"florida georgia line","florida georgia line","holy","holy",4,1,"Dig Your Roots","album","3b8QkneNDz4JHKKKlLgYZg","0BCy325UZyR9z0t0uxwn2N","2016-08-26",2016,194186,0.523,0.666,7,"G","G minor",0,"minor",4,-4.081,0.0327,0.401,0,0.0728,0.564,78.077
1,2017,"sam hunt","sam hunt","body like a back road","body like a back road",1,1,"Body Like A Back Road","single","2kucQ9jQwuD8jWdtR9Ef38","7mldq42yDuxiUNn08nvzHO","2017-02-01",2017,165386,0.732,0.458,5,"F","F major",1,"major",4,-7.225,0.0311,0.447,0,0.136,0.661,98.938
1,2018,"bebe rexha  florida georgia line","bebe rexha","meant to be","meant to be  acoustic",1,1,"Meant to Be (Acoustic)","single","64M6ah0SkkRsnPGtGiRAbb","7bu8i7HwACY0m1H5lXFSpw","2018-04-06",2018,158279,0.59,0.337,9,"A","A major",1,"major",5,-8.256,0.089,0.726,0,0.161,0.233,98.885
1,2019,"morgan wallen","morgan wallen","whiskey glasses","whiskey glasses",4,1,"If I Know Me","album","4oUHIQIBe0LHzYfvXNW4QM","6foY66mWZN0pSRjZ408c00","2018-04-27",2018,234346,0.614,0.68,6,"F#","F# major",1,"major",4,-4.58,0.0289,0.369,1.84e-06,0.115,0.707,149.959
1,2020,"gabby barrett","gabby barrett","i hope","i hope",2,1,"The Good Ones","single","6Iz3eq2aQGFf7TbGT2iahL","73lFUNEadnEIR3i2uEJNO1","2019-07-12",2019,210772,0.466,0.536,6,"F#","F# major",1,"major",4,-6.227,0.0429,0.0951,0,0.114,0.377,75.998
2,2002,"alan jackson","alan jackson","drive for daddy gene","drive for daddy gene",12,1,"Playlist: The Very Best Of Alan Jackson","compilation","4mxWe1mtYIYfP040G38yvS","38hbQ1wHHBNXDpPGJRMY28","1991",1991,241800,0.716,0.614,11,"B","B major",1,"major",4,-7.207,0.0413,0.299,0,0.115,0.454,125.184
2,2003,"toby keith duet with willie nelson","toby keith","beer for my horses","beer for my horses",5,1,"Unleashed","album","2bA6fzP0lMAQ4kz6CF61w8","7E2DqvnVtbIrFrL5X6YH9Q","2002-01-01",2002,204000,0.717,0.85,10,"A#","A# major",1,"major",4,-5.329,0.0473,0.368,0,0.0495,0.805,119.005
2,2004,"alan jackson","alan jackson","remember when","remember when",14,1,"Playlist: The Very Best Of Alan Jackson","compilation","4mxWe1mtYIYfP040G38yvS","1M1HscO3JywTvswsVx1GcI","1991",1991,270680,0.559,0.301,2,"D","D major",1,"major",4,-10.522,0.0294,0.708,0.000561,0.152,0.25,125.584
